ticker,company_name,cik,sector,industry,ir_url,enabled
SLB,Schlumberger,0000087347,Energy,Oil & Gas Equipment & Services,,true
STX,Seagate Technology,0001137789,Information Technology,Technology Hardware Storage & Peripherals,,true
SEE,Sealed Air,0001012100,Materials,Paper & Plastic Packaging,,true
SRE,Sempra,0001032033,Utilities,Multi-Utilities,,true
NOW,ServiceNow,0001373715,Information Technology,Systems Software,,true
SHW,Sherwin-Williams,0000089089,Materials,Specialty Chemicals,,true
SPG,Simon Property Group,0001063761,Real Estate,Retail REITs,,true
SWKS,Skyworks Solutions,0000004281,Information Technology,Semiconductors,,true
SJM,J.M. Smucker,0000091419,Consumer Staples,Packaged Foods & Meats,,true
SNA,Snap-on,0000091440,Industrials,Industrial Machinery,,true
SOLV,Solventum,0001958494,Health Care,Health Care Equipment,,true
SO,Southern Company,0000092122,Utilities,Electric Utilities,,true
LUV,Southwest Airlines,0000092380,Industrials,Airlines,,true
SWK,Stanley Black & Decker,0000093556,Industrials,Industrial Machinery,,true
SBUX,Starbucks,0000829224,Consumer Discretionary,Restaurants,,true
STT,State Street,0000093751,Financials,Asset Management & Custody Banks,,true
STLD,Steel Dynamics,0001022079,Materials,Steel,,true
STE,STERIS,0001166928,Health Care,Health Care Equipment,,true
SYK,Stryker,0000310764,Health Care,Health Care Equipment,,true
SYF,Synchrony Financial,0001601712,Financials,Consumer Finance,,true
SNPS,Synopsys,0000883241,Information Technology,EDA,,true
SYY,Sysco,0000086312,Consumer Staples,Food Distributors,,true
TMUS,T-Mobile US,0001283699,Communication Services,Wireless Telecommunication Services,,true
TDK,TDDK,,Information Technology,Electronic Components,,true
TGT,Target,0000027419,Consumer Discretionary,General Merchandise Stores,,true
TEL,TE Connectivity,0001385157,Information Technology,Electronic Components,,true
TDY,Teledyne Technologies,0001039065,Information Technology,Electronic Equipment & Instruments,,true
TFX,Teleflex,0000096831,Health Care,Health Care Equipment,,true
TER,Teradyne,0000097210,Information Technology,Semiconductor Equipment,,true
TSLA,Tesla,0001318605,Consumer Discretionary,Automobile Manufacturers,,true
TXN,Texas Instruments,0000097476,Information Technology,Semiconductors,,true
TXT,Textron,0000217346,Industrials,Aerospace & Defense,,true
TMO,Thermo Fisher Scientific,0000097745,Health Care,Life Sciences Tools & Services,,true
TJX,TJX Companies,0000109198,Consumer Discretionary,Apparel Retail,,true
TSCO,Tractor Supply,0000916365,Consumer Discretionary,Specialty Stores,,true
TT,Trane Technologies,0001466258,Industrials,Industrial Machinery,,true
TRV,Travelers Companies,0000086312,Financials,Property & Casualty Insurance,,true
TRMB,Trimble,0000875657,Information Technology,Electronic Equipment & Instruments,,true
TFC,Truist Financial,0000092230,Financials,Regional Banks,,true
TYL,Tyler Technologies,0000860731,Information Technology,Application Software,,true
TSN,Tyson Foods,0000100493,Consumer Staples,Packaged Foods & Meats,,true
USB,U.S. Bancorp,0000036104,Financials,Diversified Banks,,true
UDR,UDR,0000074260,Real Estate,Residential REITs,,true
ULTA,Ulta Beauty,0001403568,Consumer Discretionary,Specialty Stores,,true
UNP,Union Pacific,0000100885,Industrials,Railroads,,true
UAL,United Airlines Holdings,0000100517,Industrials,Airlines,,true
UPS,United Parcel Service,0001090727,Industrials,Air Freight & Logistics,,true
URI,United Rentals,0001067294,Industrials,Trading Companies & Distributors,,true
UNH,UnitedHealth Group,0000731766,Health Care,Managed Health Care,,true
UHS,Universal Health Services,0000352915,Health Care,Health Care Facilities,,true
VLO,Valero Energy,0001035002,Energy,Oil & Gas Refining & Marketing,,true
VTR,Ventas,0000740260,Real Estate,Health Care REITs,,true
VRSN,VeriSign,0001014473,Information Technology,Internet Services & Infrastructure,,true
VRSK,Verisk Analytics,0001442145,Financials,Research & Consulting Services,,true
VZ,Verizon Communications,0000732712,Communication Services,Integrated Telecommunication Services,,true
VRTX,Vertex Pharmaceuticals,0000875320,Health Care,Biotechnology,,true
VFC,VF Corporation,0000103379,Consumer Discretionary,Apparel Accessories & Luxury Goods,,true
VTRS,Viatris,0001792044,Health Care,Pharmaceuticals,,true
VMC,Vulcan Materials,0001396009,Materials,Construction Materials,,true
WAB,Wabtec,0000943452,Industrials,Construction Machinery & Heavy Trucks,,true
WBA,Walgreens Boots Alliance,0001618921,Consumer Staples,Drug Retail,,true
WMT,Walmart,0000104169,Consumer Staples,Hypermarkets & Super Centers,,true
WBD,Warner Bros Discovery,0001437491,Communication Services,Movies & Entertainment,,true
WRK,WestRock,0001732845,Materials,Paper Products,,true
WEC,WEC Energy Group,0000783325,Utilities,Multi-Utilities,,true
WFC,Wells Fargo,0000072971,Financials,Diversified Banks,,true
WELL,Welltower,0000766704,Real Estate,Health Care REITs,,true
WST,West Pharmaceutical Services,0000105770,Health Care,Health Care Equipment,,true
WDC,Western Digital,0000106040,Information Technology,Technology Hardware Storage & Peripherals,,true
WRB,W.R. Berkley,0000011544,Financials,Property & Casualty Insurance,,true
WY,Weyerhaeuser,0000106535,Real Estate,Timber REITs,,true
WHR,Whirlpool,0000106640,Consumer Discretionary,Household Appliances,,true
WMB,Williams Companies,0000107263,Energy,Oil & Gas Storage & Transportation,,true
WTW,Willis Towers Watson,0001140536,Financials,Insurance Brokers,,true
WYNN,Wynn Resorts,0001174922,Consumer Discretionary,Casinos & Gaming,,true
XEL,Xcel Energy,0000072207,Utilities,Electric Utilities,,true
XYL,Xylem,0001524472,Industrials,Industrial Machinery,,true
YUM,Yum! Brands,0001041514,Consumer Discretionary,Restaurants,,true
ZBRA,Zebra Technologies,0000877212,Information Technology,Electronic Equipment & Instruments,,true
ZBH,Zimmer Biomet Holdings,0001136893,Health Care,Health Care Equipment,,true
ZTS,Zoetis,0001555280,Health Care,Pharmaceuticals,,true
CHRW,C.H. Robinson Worldwide,0001043277,Industrials,Air Freight & Logistics,,true
XPO,XPO,0001616862,Industrials,Trucking,,true
HLNE,Hamilton Lane,,Financials,Asset Management & Custody Banks,,true
TEX,Terex Corporation,0000097216,Industrials,Construction Machinery & Heavy Trucks,,true
MMS,Maximus,0001032220,Information Technology,IT Consulting & Other Services,,true
LQDT,Liquidity Services,0001235468,Consumer Discretionary,Internet & Direct Marketing Retail,,true
